구분,차종,2005년,2006년,2007년,2008년,2009년,2010년,2011년,2012년,2013년,2014년,2015년,2016년,2017년,2018년
순천완주선,소형차,,,,,,18950,6828247,9637854,10429061,11094062,12344626,13513402,14268680,15178102
순천완주선,중형차,,,,,,1423,299394,330137,311404,303976,298282,298061,300134,343376
순천완주선,대형차,,,,,,7058,1733235,2150257,2090939,2130405,2263635,2568480,2738406,3005378
부산외곽순환선,소형차,,,,,,,,,,,,,80656,41645395
부산외곽순환선,중형차,,,,,,,,,,,,,769,1197640
부산외곽순환선,대형차,,,,,,,,,,,,,5672,6926808
마산외곽선,소형차,17480384,16688970,17724751,15375736,,,,,,,,,,
마산외곽선,중형차,2134509,1847673,1804003,1400018,,,,,,,,,,
마산외곽선,대형차,3919314,2850411,3172587,2923790,,,,,,,,,,
,,1602302642,1646399373,1751974296,1726748391,1817687069,2008306147,2060782139,2221725214,2341475284,2421424197,2567519786,2671236042,2788596093,2908267860
