노선명,휴게소명,소재지,부지면적(제곱미터),대형,소형,장애인,운영형태,1일 이용객수,1일 차량 통행량
영동선,평창(인천),강원 평창군 용평면 탑거리길 63평창(서창)-(인천)휴게소,21218,13,203,14,민자,4116,2099
영동선,횡성(강릉),강원 횡성군 안흥면 영동고속도로 154-1횡성(강릉)휴게소,47509,33,251,7,임대,13411,3026
영동선,횡성(인천),강원 횡성군 안흥면 영동고속도로 153횡성(인천)휴게소,37474,25,212,9,임대,7818,2907
중앙선,군위(부산),경북 군위 군위 경북대로 4084 군위(부산)휴게소,36839,63,88,6,임대,5158,3027
중앙선,군위(춘천),경북 군위 군위 경북대로 4082 군위(춘천)휴게소,39273,64,88,6,임대,5655,3000
중앙선,단양팔경(부산),충북 단양군 적성면 기동2길 32-37 단양(부산)휴게소,31481,27,109,5,임대,2889,1191
중앙선,단양팔경(춘천),충북 단양군 단성면 하방3길 100 단양(춘천)휴게소,79980,30,108,4,임대,3552,1375
중앙선,동명(부산),경북 칠곡 동명 중앙고속도로 123동명(부산)휴게소,28095,48,110,7,임대,4606,2979
중앙선,동명(춘천),경북 칠곡 동명 중앙고속도로 122동명(춘천)휴게소,28096,39,91,8,임대,5264,2790
중앙선,안동(부산),경북 안동 풍산읍 풍산태사로 1903-27안동(부산)휴게소,36321,71,104,7,임대,4773,2466
중앙선,안동(춘천),경북 안동 풍산읍 풍산태사로 1913-40안동(춘천)휴게소,44222,79,71,5,임대,5155,2622
중앙선,원주(부산),강원 원주시 호저면 마근거리길 120원주(부산)휴게소,48897,30,127,6,임대,2574,1924
중앙선,원주(춘천),강원 원주시 호저면 마근거리길 110원주(춘천)휴게소,42927,16,119,6,임대,2601,1339
중앙선,춘천(부산),강원 춘천시 동내면 영서로 1432춘천(부산)휴게소,47538,9,90,6,임대,3330,2507
중앙선,치악(부산),강원 원주시 신림면 치악로 416 치악(부산)휴게소,45696,35,114,7,임대,6724,2977
중앙선,치악(춘천),강원 원주시 신림면 다리실2길 32 치악(춘천)휴게소,61992,40,103,  ,임대,4988,2810
중앙선,홍천강(춘천),강원 홍천군 북방면 도사곡길 223홍천강(춘천)휴게소,23928,26,96,5,임대,3594,1938
서울양양선,내린천,강원 인제군 상남면 서울양양고속도로 117,90891,52,489,14,임대,12401,4876
서울양양선,홍천(서울),강원 홍천군 화촌면 서울양양고속도로 83,42203,35,213,7,임대,7293,2809
서울양양선,홍천(양양),강원 홍천군 화촌면 서울양양고속도로 84,42378,28,178,7,임대,8445,3737
동해선,구정(삼척),강원 강릉시 구정면 제비리 동해고속도로 345 구정(동해)휴게소,41920,56,177,8,임대,1558,936
동해선,구정(속초),강원 강릉시 구정면 동해고속도로 346 구정(속초)휴게소,52345,60,160,6,임대,1257,878
동해선,동해(삼척),강원 동해시 망상동 동해대로 6437 동해(동해)휴게소,39724,87,13,4,임대,2959,1797
동해선,옥계(속초),강원 강릉시 옥계면 동해고속도로 320옥계(속초)휴게소,63441,61,204,6,임대,3515,2115
동해선,외동(부산),경북 경주시 외동읍 상석길 58-74 외동(부산)휴게소,27498,27,43,3,임대,2696,1833
동해선,외동(포항),경북 경주시 외동읍 상석길 58-70 외동(포항)휴게소,29069,21,49,2,임대,3020,1730
수도권제1순환선,구리(일산),경기 구리시 서울외곽순환고속도로 32 구리(일산)휴게소,19500,21,122,6,임대,7411,7203
수도권제1순환선,시흥하늘,경기 시흥시 서울외곽순환고속도로 105 시흥하늘휴게소,56688,20,523,17,민자,,10899
남해2지선,서부산(순천),부산 강서구 남해제2지선고속도로 17,12190,17,109,4,민자,,1460
남해2지선,장유(서부산),경남 김해시 장유로116번길 44-82 장유(부산)휴게소,41925,43,60,4,임대,4994,2446
서천공주선,부여백제(공주),충남 부여군 내산면 서천공주고속도로 26 부여(공주)휴게소,71166,30,57,3,임대,2201,1503
서천공주선,부여백제(서천),충남 부여군 내산면 서천공주고속도로 25 부여(서천)휴게소,70062,36,60,3,임대,3967,1745
호남지선,벌곡(논산),충남 논산시 벌곡면 호남지선고속도로 25 벌곡(논산)휴게소,27160,36,93,4,임대,4809,3565
호남지선,벌곡(대전),충남 논산시 벌곡면 벌곡로 9-58벌곡(대전)휴게소,24628,50,94,5,임대,5261,2931
중부내륙지선,현풍(대구),대구광역시 달성군 현풍면 비슬로 741 현풍(대구)휴게소,13689,52,75,4,임대,3102,2229
중부내륙지선,현풍(창원),대구광역시 달성군 현풍면 성하길 48 현풍(창원)휴게소,47569,13,74,4,임대,5222,5771
부산외곽선,김해금관가야,경남 김해시 대동면 동남로 400 김해금관가야휴게소,52100,46,296,14,임대,,4707
